Ctrl-w n	split horizontally or 	:split	/ :sp 
Ctrl-w v	split vertically or 	:vsplit	/ :vsp
Ctrl-w w	tab through viewports.

:e <file>	Open a file

Ctrl-w j	move one viewport down.
Ctrl-w k	move one viewport up.
Ctrl-w h	move one viewport to the left.
Ctrl-w l	move one viewport to the right.

Ctrl-w =	resize viewports to equal size.
Ctrl-w -	reduce active viewport by one line.
Ctrl-w +	increase active viewport by one line.

Ctrl-w q	close the active window.
Ctrl-w r	rotate windows to the right.
Ctrl-w R	rotate windows to the left.
